error rate,feature 1,feature 2
0.067,1,7
0.079,1,12
0.135,7,12
0.146,1,6
0.157,7,11
0.169,1,9
0.169,7,8
0.169,7,9
0.18,1,2
0.202,3,7
0.202,7,10
0.213,6,7
0.225,1,10
0.236,1,11
0.236,2,7
0.247,6,12
0.258,2,10
0.27,4,10
0.27,10,12
0.281,6,10
0.292,3,10
0.292,3,12
0.292,6,11
0.292,8,10
0.303,1,3
0.303,2,6
0.303,9,10
0.303,10,11
0.326,1,13
0.326,2,13
0.326,3,6
0.326,3,13
0.326,4,13
0.326,5,13
0.326,6,13
0.326,7,13
0.326,8,13
0.326,9,13
0.326,10,13
0.326,11,13
0.326,12,13
0.337,1,8
0.36,6,8
0.36,9,11
0.36,9,12
0.371,3,11
0.382,3,9
0.393,11,12
0.404,2,9
0.404,6,9
0.404,8,12
0.416,2,12
0.427,2,3
0.427,4,7
0.427,8,9
0.427,8,11
0.438,4,12
0.449,4,9
0.472,4,6
0.472,4,8
0.472,4,11
0.483,2,11
0.506,2,8
0.506,5,10
0.517,4,5
0.562,1,5
0.562,2,5
0.562,3,5
0.562,5,6
0.562,5,7
0.562,5,9
0.562,5,12
0.573,5,8
0.573,5,11
0.607,2,4
0.652,3,8
0.663,1,4
0.674,3,4
